# AoA Mach CL CD
-0.05235988 0.20000000 -0.36376617 0.07630933
-0.05235988 0.40000000 -0.41426605 0.07114530
-0.05235988 0.65000000 -0.44963110 0.10868312
-0.05235988 0.75000000 -0.45434288 0.18341013
0.00000000 0.20000000 -0.07875623 0.06343850
0.00000000 0.40000000 -0.09446866 0.05852478
0.00000000 0.65000000 -0.10181799 0.08765105
0.00000000 0.75000000 -0.10797887 0.15854381
0.05235988 0.20000000 0.20768410 0.06745645
0.05235988 0.40000000 0.22693841 0.06166416
0.05235988 0.65000000 0.24990395 0.09347404
0.05235988 0.75000000 0.24198707 0.16489943
