"Global_Index", "x_coord", "y_coord", "z_coord", "Pressure", "Pressure_Coefficient", "Mach_Number"
0, 1.267884294400000e-02, 1.760424032000000e-02, -2.636821800400000e-02, 4.964213166245675e+00, 9.998549039199230e-01, 1.197840106550014e-01
1, 1.190682183500000e-02, 1.421929330400000e-02, -4.170211918100000e-02, 4.818953580496578e+00, 7.093357324217298e-01, 1.324011591040975e-01
2, 7.331989063000000e-04, 0.000000000000000e+00, -2.799973659000000e-02, 5.044520431545178e+00, 1.160469434518928e+00, 7.182492902663273e-02
4259, 2.552279612800000e-02, 3.309197990400000e-02, -4.472911250700000e-02, 4.858716219268955e+00, 7.888610099664836e-01, 1.834002687767691e-01
9841, 1.088323436900000e-03, 0.000000000000000e+00, -6.725397705000000e-03, 5.169316504241112e+00, 1.410061579910798e+00, 9.118951210764857e-02
4258, 2.459019607800000e-02, 3.515794629300000e-02, -2.474138281900000e-02, 5.196974636042676e+00, 1.465377843513926e+00, 1.658235633927104e-01
14026, 2.093099305300000e-02, 2.963721848800000e-02, -7.636912883000000e-03, 5.144674382788619e+00, 1.360777337005810e+00, 1.492095402632477e-01
16271, 1.081825659300000e-02, 1.363604006800000e-02, -8.545241324700000e-04, 5.230962852335248e+00, 1.533354276099068e+00, 8.574755489336085e-02
7279, 3.307498199200000e-03, 0.000000000000000e+00, -4.910671864100000e-02, 5.032393480217432e+00, 1.136215531863437e+00, 8.923251069291126e-02
7280, 1.590208070500000e-02, 1.481532453800000e-02, -5.863343910400000e-02, 5.104019725053146e+00, 1.279468021534866e+00, 1.307620690021135e-01
3, 3.049002789800000e+00, 3.225224090000000e+00, 3.159633923200000e-01, 4.459789180287284e+00, -8.993067996859949e-03, 3.072210090936736e-01
4, 3.040400969000000e+00, 3.237632768800000e+00, 3.125438216500000e-01, 4.432673386561053e+00, -6.322465544932143e-02, 3.119640437715264e-01
5, 3.052508536200000e+00, 3.237632768800000e+00, 3.168558478400000e-01, 4.696759750592126e+00, 4.649480726128257e-01, 3.355208985480838e-01
6, 3.038062843400000e+00, 3.224380023800000e+00, 3.120885155100000e-01, 4.357959791271765e+00, -2.126518460278977e-01, 3.400367096542697e-01
9911, 3.040016566000000e+00, 3.237632768800000e+00, 3.198786669000000e-01, 4.651459764691719e+00, 3.743481008120106e-01, 3.538516939455602e-01
