aoa,aoa std,span,tp,swp,l/d,mass
7.2048411076,0.2467101938,19.738,0.4775,21.5,-9.1042472727,181.6758150383
5.8927243037,0.0027528276,13.974,0.0658333333,26.5,-17.2998773709,105.67985945
6.489958208,0.0695568829,13.45,0.6991666667,13.5,-10.8761005026,132.5036828092
6.304298008,0.1091152735,18.69,0.7941666667,23.5,-8.5321798533,193.8697799217
5.5501357748,0.0175175062,7.162,0.7625,2.5,-13.9901661806,89.5914815087
5.4104665482,0.0519774195,10.83,0.8575,4.5,-11.1233448243,116.9302555187
5.9791086001,0.0346492673,14.498,0.9208333333,16.5,-9.303135665,150.4052395959
5.8861942995,0.2658222967,5.066,0.8891666667,14.5,-12.6238192927,79.0617818346
5.7856294962,0.3520587062,6.638,0.4141666667,8.5,-15.4245054838,79.3845703791
5.7208902102,0.0630787795,8.734,0.9525,9.5,-12.4832732149,104.0793535648
4.2608128107,0.4777744799,16.07,0.6041666667,29.5,-11.0599827382,155.0796886514
5.7646835733,0.0427475584,10.306,0.9841666667,20.5,-12.4314065512,116.8638480467
5.6125371629,0.0300278575,11.354,0.1608333333,22.5,-17.2989907689,95.7840883635
5.5955869637,0.0068939428,12.402,0.3825,17.5,-14.283269957,110.7209632881
5.5092118902,0.0115400482,8.21,0.4458333333,18.5,-16.0107562638,88.4439956133
5.4347171523,0.0258423541,16.594,0.0975,19.5,-14.1524909816,122.1455108852
5.0523357752,0.0578713561,18.166,0.3191666667,28.5,-11.1945437012,153.1190732916
-4.5620374969,14.2087868033,15.546,0.5091666667,6.5,made,positive
7.6591505202,0.0457355321,5.59,0.2875,27.5,-16.2757619836,72.373944816
6.6552949386,0.049879272,17.642,0.2241666667,3.5,-10.2566568804,136.02612851
4.5224390073,0.1138482462,15.022,0.8258333333,0.5,-8.7657929705,150.2882545612
6.5185807247,0.1344440435,6.114,0.7308333333,24.5,-14.989092996,82.9929039992
5.670627561,0.0242670856,9.782,0.3508333333,1.5,-15.2596634403,93.7171792026
5.7249621547,0.0334182344,9.258,0.6358333333,5.5,-13.8763020999,99.4968373116
5.7388895938,0.0183725409,11.878,0.5725,25.5,-14.4833165812,116.0433106841
3.8242110982,0.0174686106,4.542,0.5408333333,11.5,-12.4415499465,71.2803821791
4.8515468581,0.2220073014,19.214,0.6675,12.5,-8.0984766087,187.7046933187
5.842221127,0.3614540499,7.686,0.1291666667,7.5,-17.5163210261,77.7356930517
5.7240848112,0.0752216848,12.926,0.1925,10.5,-13.7388933034,104.6929093256
1.5022159618,11.6811879687,17.118,0.2558333333,15.5,made ,positive
3.74834468,0.0121336209,4.28,0.05,0,-13.2458889335,63.6388049957
3.7633995216,0.0119901913,4.28,0.05,30,-14.2180624578,63.7443040731
7.3102115916,0.0453560196,4.28,1,0,-10.7371356534,75.5596312606
7.2677802011,0.0460562157,4.28,1,30,-11.5598756122,75.774658819
3.1831837266,6.9518008687,20,0.05,0,made ,positive
3.1826969394,6.9500942205,20,0.05,30,made ,positive
11.9172330223,1.1711362134,20,1,0,-1.8083920808,212.0021346258
11.9188780045,1.1720236815,20,1,30,-2.3717202153,223.9585312589
